Day,Assignment,Submissions Graded,Avg /10,Avg %,% scoring >=70,% scoring <40
1,"Day 1 Lab — Score-your-own prompt",146,6.6,65.9,65,24
2,"Context Window Experiment",155,6.9,68.6,66,8
2,"Lab — Tokenize your own life",155,3.4,33.8,1,76
3,"Lab — CREATE rewrite: bad prompt to great prompt",157,5.7,57.5,45,27
4,"Lab — Three models, one Indic task",157,6.0,59.6,50,35
5,"Lab — Same question, three depths",158,5.3,52.5,34,37
6,"Capstone M1 — Idea & Research brief",156,5.5,55.3,44,34
6,"Give me 5 ideas with references",145,6.6,65.7,61,18
7,"Lab — Sharpen the M1 problem",157,4.5,44.9,34,45
8,"Lab — One full design-thinking loop on a campus pain",155,5.6,55.8,39,30
9,"User Interview",151,6.1,60.6,45,17
10,"Day 10 Lab — Causal-loop diagram + SCQA pitch",154,3.6,35.9,3,45
11,"E-commerce Recommendation Engine",136,7.3,73.0,80,5
11,"Fake News Headline Detector",129,7.8,77.6,93,2
11,"Hospital Triage Assistant",130,7.3,72.5,81,1
11,"Intelligent Data Audit of a Familiar App",129,6.7,66.6,53,2
11,"Intelligent Expense Tracker and Predictor",133,7.3,73.3,79,2
11,"Intelligent LMS Monitor",129,7.5,75.1,84,2
11,"Smart Attendance and Engagement Scout",133,6.7,66.8,55,8
11,"Smart Bus Stop Queue Analyzer",133,8.4,84.1,93,0
11,"Smart Greenhouse Sensor Monitor",133,7.2,72.5,72,2
11,"Social Media Sentiment Campaign Monitor",135,6.8,67.5,70,8
12,"Day 12 — Create 3 images + comparison",141,5.1,50.6,2,9
12,"Day 12 Lab — Same prompt x four image models",146,4.3,42.8,5,35
13,"Academic topic deck",142,3.6,36.1,1,71
13,"Day 13 Lab — 10-slide capstone deck",143,3.1,31.2,8,69
14,"Day 14 Lab — 3-node n8n workflow (Firecrawl + Groq)",135,3.6,36.0,4,69
15,"Day 15 Lab — Two-tool ReAct agent in LangGraph",140,3.1,31.4,2,74
16,"Milestone 3 — Pitch + Live Demo",137,2.4,23.9,0,93
16,"Vibe-coded portfolio",126,3.8,38.3,0,45
17,"Public repo + real API call",130,4.2,41.7,1,20
18,"Day 18 Lab — Build the cost spreadsheet",122,3.2,32.2,2,74
20,"Context that earns its tokens",40,4.0,40.4,5,48
